"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"752","RT @MartinHajovsky: This week's @NewYorker cover, drawn by @UTAustin grad Chris Ware. Wow. #Harvey #HoustonStrong https://t.co/8J6Y3yOT0h h…",FALSE,0,NA,2017-09-04 23:44:17,FALSE,NA,"904852649316515840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsswitchh",16,TRUE,FALSE,NA,NA
"753","RT @RuthieRedSox: As Texas &amp; Louisiana still recover from #Harvey, please keep Puerto Rico, all islands and Florida in your prayers. 
#Irma…",FALSE,0,NA,2017-09-04 23:44:16,FALSE,NA,"904852645827026944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","powerboatr",610,TRUE,FALSE,NA,NA
"754","RT @SandraTXAS: 10 Things Learned From Texas #Harvey <ed><U+00A0><U+00BE><ed><U+00B4><U+00A0>

The left tries to squelch this American spirit.  We will not be defeated <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>

#MAGA h…",FALSE,0,NA,2017-09-04 23:44:13,FALSE,NA,"904852630672994305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bix_man",1016,TRUE,FALSE,NA,NA
"755","RT @BBCWorld: Storm #Harvey: The moment a reporter sparks the rescue — live on air — of a driver trapped in waters https://t.co/ttGjx4hTYn…",FALSE,0,NA,2017-09-04 23:44:12,FALSE,NA,"904852625904062464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BonnieD87703006",2379,TRUE,FALSE,NA,NA
"756","RT @AMHQ: .@NOAA’s GOES-16 got a great look at the #lightning strikes inside of #Harvey. This is a #timelapse showing the strikes on Aug 25…",FALSE,0,NA,2017-09-04 23:44:11,FALSE,NA,"904852624423473153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MDominguez0808",97,TRUE,FALSE,NA,NA
"757","Salvation Army in #Beaumont says it needs 20-25 more volunteers beginning at 9am tomorrow. #khou11 @12NewsNow  #Harvey #Flooding",FALSE,23,NA,2017-09-04 23:44:11,FALSE,NA,"904852622645047297",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","david_lippman",48,FALSE,FALSE,NA,NA
"758","RT @NIVIsa4031: #Harvey by the numbers Worst    Catastrophic Storm to hit US Americans reaching out in compassion; humanism prevails   #Har…",FALSE,0,NA,2017-09-04 23:44:10,FALSE,NA,"904852619230797824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","togiantogian",218,TRUE,FALSE,NA,NA
"759","RT @RobertMaguire_: @JoelOsteen When your megachurch is less welcoming to #Harvey victims than a furniture superstore, the IRS should termi…",FALSE,0,NA,2017-09-04 23:44:10,FALSE,NA,"904852617876078594",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angryjerrydaley",3316,TRUE,FALSE,NA,NA
"760","RT @fema: Here's an updated look at the federal response to #Harvey. https://t.co/ydx62HDfSt",FALSE,0,NA,2017-09-04 23:44:08,FALSE,NA,"904852611223957504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HagertyConsult",432,TRUE,FALSE,NA,NA
"761","RT @theintercept: Covering disasters like #Harvey while ignoring climate change fails in the most basic duty of journalism. https://t.co/7m…",FALSE,0,NA,2017-09-04 23:44:05,FALSE,NA,"904852600226406400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rweston406",234,TRUE,FALSE,NA,NA
