"","text"
"50","RT @HCSOTexas: Shoutout to @lonestarcollege. Students are in communities handing out supplies since #Harvey hit. #LESM https://t.co/jcUOnFl…"
"51","@apurposefulwife Stop talking about #Harvey"
"52","RT @KPRC2: Rosenberg couple saves home from #Harvey floods by using Aqua Dam. Details, more pics-&gt;https://t.co/CTqXEqz2yf #KPRC2 #HoustonSt…"
"53","RT @DrBobBullard: Will #Houston's Post #Harvey Recovery Exacerbate #Inequities or Build a More Just City? https://t.co/rXxGOuf0v7 via @demo…"
"54","RT @RYHTexas: Hundreds of @RYHTexas alumni live in areas that were affected by #Harvey. Their stories: https://t.co/hKx9lKE8R5 #TxEd #TxEdS…"
"55","RT @mrkmully: It's only been a week. Went back to some of the sites in Meyerland I shot last Sunday. #harvey https://t.co/tOQI4cLwwM"
"56","RT @txvalues: We recommend donating to Samaritan's Purse, helping those affected by #Harvey physically and spiritually. #txlege   https://t…"
"57","RT @HoustonPubMedia: UPDATE: House Passes $7.9 Billion Harvey Aid Package.
https://t.co/PH2yZkWbN6
#Harvey #HoustonFlood https://t.co/Izpab…"
"58","I'm going to take a break from #Harvey coverage to celebrate that SETX Football is back! <U+2764> #44 #ScalpEm… https://t.co/gLNPg7qEqn"
"59","RT @T_I_P_R_O: .@HoustonChron's @cltomlinson reminds us why after #Harvey, #Houston needs petrochemicals more than ever: https://t.co/TL6Ab…"
"60","If you would look closely the KFC Man looks sort of like a stick man #kfc #Harvey  #staystrongtexas #hurricane… https://t.co/lXM3P8yz8M"
"61","If you are still looking for ways to help victims of #flooding from #Harvey click here https://t.co/y46hfTQpmu"
"62","Tonight 8pm we have @StinsonCountry in concert for a special #harvey recovery fundraiser. #HOU #RiceVillage… https://t.co/rIazyqHqGv"
"63","RT @12NewsNow: Hope was just 10 days old when her family was rescued following #Harvey.  (Photo by Noelle Mills) https://t.co/PTU3hHEWl2"
"64","RT @SChapaSABJ: VIDEO: First tanker to travel through the Corpus Christi Ship Channel after it was shut down during Hurricane #Harvey (via…"
"65","RT @statebaroftexas: .@TexYoungLawyers has come out with a new guide on hiring a contractor after natural disasters like #Harvey: https://t…"
"66","@RamonRoblesJr Many prominent deaths this weekend. Would love to hear Dave Hlubek's...#FlirtingWithDisaster #Harvey"
"67","RT @UTSA: Sending <U+2764><U+FE0F> to all those affected by #Harvey. @utsasosa #TexasStrong #UTSA https://t.co/hSmZljB1UX"
"68","RT @MarlaABC13: City of Houston employee missing. He was last heard from during the height of #Harvey. He was on his way to work @abc13hous…"
"69","The guys at @NormanFredeChev are the bestttt not only did they fix my #Harvey damage... they detailed it ANDDDD use… https://t.co/MHJcKU3uRu"
"70","Amazing @springspiritbb kids wanted to help #Harvey victims. Sold lemonade &amp; got $10,000 check! Proud to tell their… https://t.co/ephcoRe5Ly"
"71","Me feelings on #Harvey and #irma right now. @ Freese Media Group https://t.co/RJScUkRRoC"
"72","RT @TXLA: #Harvey PSA: Library Recovery Connection. Tell us if you're a library needing assistance or someone offering support
https://t.co…"
"73","RT @TAMU: Last week, @TAMUyell visited NYC to talk with @SportsCenter, @foxandfriends, &amp; @finebaum about #Harvey relief! https://t.co/jCHq5…"
"74","RT @DrBobBullard: Denying Hurricane #Harvey’s #climate links only worsens future suffering
https://t.co/eI0aOqUkYw"
"75","RT @TexasTribune: We're talking tomorrow w/ 3 Tribune reporters on their #Harvey experiences &amp; what's next for Houston: https://t.co/ac0q5Y…"
"76","RT @kbeninato: Post-#Harvey FEMA is dangerously close to running out of money. With #Irma on the way wasting $ on a Trump vanity wall would…"
"77","RT @HamiltonMS1: THANK YOU! We are #HoustonStrong #HeightsLife We need volunteers to help hand out donations tomorrow 9-5 #HISD #Harvey htt…"
"78","After seeing the catastrophic stories of families that were directly affected by #Harvey it meant hugging my babies… https://t.co/QUc48dd9oS"
"79","TCEQ: the liner protecting the toxic San Jacinto waste pits has been ""exposed"" but ""no indication"" that waste has b… https://t.co/Gp99NUbW3D"
"80","RT @GregAbbott_TX: Thanks to Boston dental business DentaQuest for donating $1M to https://t.co/XZ2f4R29kW to help Texas after #Harvey. htt…"
"81","'Navigating Cancer Care in the Midst of a Natural Catastrophe' https://t.co/qHmFlQlCLW via @cure_magazine #Irma #Harvey"
"82","RT @nathanlino: Thanks to my new friend Michael @Whataburger for donating to #Harvey relief through Farrington Mission. https://t.co/fdEtxL…"
"83","RT @elizabethcrisp: .@LouisianaGov urges Congress to address SBA loan issue as it considers #Harvey aid https://t.co/VGv2ukQB5d @theadvocat…"
"84","RT @AntonioArellano: Many Houston #DREAMers lost everything they had to #Harvey

Now, they've lost #DACA

Help the most vulnerable:
https:/…"
"85","RT @stjbs: An absolutely incredible #harvey essay: I downloaded an app. Suddenly, I was a rescue dispatcher. https://t.co/8ds8PLf4Qe"
"86","RT @JimSharpe: Of course they are. Godspeed

After #Harvey, @PHXFire Task Force 1 en route to Florida to help if #Irma hits https://t.co/MJ…"
"87","A friend of mine in Houston needs help repairing the #Harvey damage to his home. Every little bit helps. Thank you! https://t.co/OfoojXpjVp"
"88","Trying our best to overcome #harvey My #onramps class met again to practice #rstudio b4 school reopens. So proud of… https://t.co/mULwVkXMjr"
"89","RT @NWSHouston: DO NOT go out to sight see the damage/flooding! #Harvey https://t.co/N6A1bLOrRS"
"90","RT @KPRCAndyCerota: Volunteers from Florida &amp; Iowa helping cleanup crews at C.E. King HS in @SheldonISD with #Harvey recovery. @KPRC2 6pm #…"
